,state,count_change_percent,sum_change_percent,median_change_percent,boa_count,citi_count,income,total_population,male,female,median_age,bachelor_or_higher,labor,no_insurance,poverty,label
41,Tennessee,0.0,0.0,0.0,0.07982740021574973,0.0,0.573964419352721,0.1537323368339669,0.024856596558317484,0.06844106463878316,0.18367346938775514,0.11090909090909093,0.10810810810810803,0.4554973821989528,0.42325581395348844,0.0
42,Texas,-0.007874015748031496,0.3007889227038441,0.09245140263066,0.42071197411003236,0.11548556430446194,0.7073458937832338,0.6796676760518008,0.043977055449330865,0.049429657794676694,0.08616780045351467,0.1563636363636364,0.1607396870554765,0.8272251308900523,0.37209302325581395,-1.0
43,Utah,0.0,0.23619632431751802,0.050575800599463636,0.0,0.0,0.8321801352327184,0.060788583209844725,0.05544933078393879,0.03802281368821293,0.0,0.2163636363636364,0.20483641536273103,0.481675392670157,0.11627906976744186,-1.0
44,Vermont,0.0,0.0,0.0,0.0,0.0,0.7970590166086785,0.0010929450422008892,0.034416826003824175,0.05893536121672993,0.27891156462585026,0.28545454545454546,0.1849217638691323,0.08900523560209424,0.13953488372093023,0.0
45,Virginia,0.0,0.0,0.0,0.17691477885652643,0.026246719160104987,0.8685748047003217,0.19952673152503062,0.034416826003824175,0.05893536121672993,0.16326530612244905,0.31818181818181823,0.18349928876244653,0.39790575916230364,0.1209302325581396,0.0
46,Washington,0.0,0.10009573798721132,0.04846557557354119,0.20388349514563106,0.0,0.7755268167793606,0.1669319502609368,0.04971319311663483,0.04372623574144481,0.15873015873015872,0.25272727272727274,0.1550497866287339,0.30890052356020936,0.18604651162790697,2.0
47,West Virginia,0.0,0.006785377787982676,0.017669727389504734,0.0,0.0,0.5192936388104773,0.03263122221506346,0.03824091778202677,0.05513307984790872,0.25850340136054417,0.0,0.0,0.27748691099476436,0.42325581395348844,2.0
48,Wisconsin,-0.02702702702702703,0.008199476770925742,0.053905243570781046,0.0,0.0,0.7625549793212105,0.13332674441079828,0.0420650095602295,0.05133079847908737,0.1972789115646259,0.16727272727272727,0.19487908961593178,0.20942408376963348,0.18604651162790697,-1.0
49,Wyoming,0.0,0.0,0.0,0.0,0.0,0.7311757368870216,0.0,0.06692160611854685,0.02661596958174902,0.13832199546485263,0.13454545454545458,0.21337126600284495,0.4554973821989528,0.09302325581395349,0.0
50,District of Columbia,0.0,0.0,0.0,0.030204962243797196,0.04199475065616798,0.8964353705770367,0.001926164551253141,0.0,0.09315589353612164,0.07482993197278905,0.6509090909090909,0.22332859174964442,0.10471204188481674,0.3953488372093023,0.0
51,Guam,0.0,0.0,0.0,0.0,0.0026246719160104987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Puerto Rico,0.0,0.0,0.0,0.0,0.0026246719160104987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
